Loading net-file from 'lust.net.xml' ... done (594ms).
Loading additional-files from 'vtypes.add.xml' ... done (1ms).
Loading additional-files from 'busstops.add.xml' ... done (6ms).
Loading additional-files from 'e1detectors.add.xml' ... done (23ms).
Loading additional-files from 'lust.poly.xml' ... done (241ms).
Loading additional-files from 'tll.static.xml' ... done (37ms).
Loading done.
Simulation started with time: 0.00
Warning: Vehicle '2BEtoLU.27.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8520.00.
Warning: Vehicle 'randUni3423:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8572.00.
Warning: Vehicle '2DEtoFR.12.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8602.00.
Warning: Vehicle '2BEtoLU.29.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8622.00.
Warning: Vehicle '2DEtoLU.29.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8634.00.
Warning: Vehicle '2DEtoLU.30.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8673.00.
Warning: Vehicle '2BEtoLU.30.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8694.00.
Warning: Vehicle '2BEtoLU.33.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=8810.00.
Warning: Vehicle '2BEtoLU.41' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9100.00.
Warning: Vehicle '2BEtoLU.41.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9111.00.
Warning: Vehicle '2BEtoLU.43.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9126.00.
Warning: Vehicle '2DEtoFR.31.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9132.00.
Warning: Vehicle '2BEtoLU.44.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9191.00.
Warning: Vehicle '2BEtoLU.49.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9336.00.
Warning: Vehicle '2BEtoLU.49.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9340.00.
Warning: Vehicle '2BEtoLU.50.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9421.00.
Warning: Vehicle '2BEtoLU.51' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9494.00.
Warning: Vehicle '2BEtoLU.51.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9499.00.
Warning: Vehicle '2BEtoLU.51.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9500.00.
Warning: Vehicle '2DEtoFR.41' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9561.00.
Warning: Vehicle '2BEtoLU.53.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9586.00.
Warning: Vehicle '2BEtoLU.54.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9612.00.
Warning: Vehicle 'randUni8690:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9670.00.
Warning: Vehicle 'randUni8690:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9683.00.
Warning: Vehicle '2BEtoLU.59' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9712.00.
Warning: Vehicle '2BEtoLU.59.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9714.00.
Warning: Vehicle 'randUni8690:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9717.00.
Warning: Vehicle 'randUni8690:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9733.00.
Warning: Vehicle '2BEtoLU.62.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9754.00.
Warning: Vehicle 'randUni8690:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9757.00.
Warning: Vehicle '2BEtoLU.62.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9757.00.
Warning: Vehicle '2BEtoLU.62.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9757.00.
Warning: Teleporting vehicle '2BEtoLU.62.1'; collision with vehicle '2BEtoLU.62.2', lane='-30668#9_1', gap=-4.87, time=9757.00 stage=move.
Warning: Vehicle '2BEtoLU.62.1' ends teleporting on edge '-30668#9-AddedOffRampEdge', time=9762.00.
Warning: Vehicle 'randUni16267:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9808.00.
Warning: Vehicle '2LUtoBE.80.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9816.00.
Warning: Vehicle 'randUni16267:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9849.00.
Warning: Vehicle 'randUni16267:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9855.00.
Warning: Vehicle '2BEtoLU.67' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9874.00.
Warning: Vehicle '2BEtoLU.67.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9890.00.
Warning: Vehicle 'randUni16267:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9894.00.
Warning: Vehicle 'randUni16267:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9903.00.
Warning: Vehicle '2BEtoLU.68.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9913.00.
Warning: Vehicle '2DEtoFR.56.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=9986.00.
Warning: Vehicle 'randUni4256:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10037.00.
Warning: Vehicle '2BEtoLU.72.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10041.00.
Warning: Vehicle 'randUni4256:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10048.00.
Warning: Vehicle '2BEtoLU.74.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10081.00.
Warning: Vehicle '2BEtoLU.74.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10084.00.
Warning: Vehicle 'randUni4256:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10086.00.
Warning: Vehicle 'randUni4256:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10098.00.
Warning: Vehicle 'randUni18066:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10107.00.
Warning: Vehicle 'randUni18066:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10120.00.
Warning: Vehicle 'randUni18066:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=10125.00.
